name,kampong,mukim,district,longitude,latitude,officiated,used,completed,capacity,estimated_cost,type,category,notes
Surau Polis Gadong,Kg. Mata-Mata,Mukim Gadong B,Brunei Muara,4.907070411,114.903563,,,,800,,surau,Surau,
Surau Maktab Teknik Sultan Saiful Rijal,Kg. Serusop,Mukim Berakas A,Brunei Muara,4.946497943,114.9546769,,1998,1999,"1,000","135,000.00",surau,Surau,Commonly said to be in Delima Satu but is within Kg. Serusop border
Surau Lapangan Terbang Antarabangsa ,Lapangan Terbang Antarabangsa Brunei,Mukim Berakas A,Brunei Muara,4.944104967,114.9338515,,,,,,surau,Surau,
Masjid Utama Mohammad Salleh,Pekan Bangar,Mukim Bangar,Temburong,4.707671074,115.0707725,1968,1967,1967,800,"395,000.00",masjid,Masjid Utama,
Masjid RPN Kg. Pandan,Kg. Pandan C,Mukim Kuala Belait,Belait,4.586281029,114.2324163,1996,1996,1995,"2,900","14,000,000.00",masjid,Masjid Utama,
Masjid Mohammad Jamalul Alam,Pekan Kuala Belait,Mukim Kuala Belait,Belait,4.585247207,114.1904594,1964,1964,1963,"2,500","2,600,000.00",masjid,Masjid Utama,
Masjid Pekan Seria,Pekan Seria Kawasan 1,Mukim Seria,Belait,4.615650382,114.3334931,1954,1954,1954,"2,500","250,000.00",masjid,Masjid Utama,
Masjid Al-Ameerah Al-Hajjah Maryam,Kg. Jerudong,Mukim Sengkurong,Brunei Muara,4.93938926,114.842504,1999,1999,1999,"2,000",,masjid,Masjid Utama,
Masjid Hassanal Bolkiah,Kg. Mentiri,Mukim Mentiri,Brunei Muara,4.96682278,115.029694,2017,2017,2017,"3,000",,masjid,Masjid Utama,
Masjid Sultan Sharif Ali,Kg. Sengkurong A,Mukim Sengkurong,Brunei Muara,4.888351769,114.8419145,1986,1986,1986,"3,000","3,808,955.00",masjid,Masjid Utama,
Masjid Mohamed Bolkiah,Kg. Serusop,Mukim Berakas A,Brunei Muara,4.944921573,114.9447537,1979,1979,1978,"3,000","1,100,000.00",masjid,Masjid Utama,
Masjid Al-Muhtadee Billah,Kg. Sungai Kebun,Mukim Sungai Kebun,Brunei Muara,4.8798524,114.9441287,1987,1987,1987,"1,100","3,369,653.28",masjid,Masjid Utama,
Masjid Setia Ali,Pekan Muara,Mukim Serasa,Brunei Muara,5.029194942,115.0614081,1962,1962,1961,700,"250,000.00",masjid,Masjid Utama,
