name,latitude,longitude,district
Balai Ibadat Kampong Mata-Mata,114.8957037,4.900171327,Brunei Muara
Balai Ibadat Kampong Peramu,114.9424812,4.881970273,Brunei Muara
Balai Ibadat Kampong Saba,114.9468177,4.881731076,Brunei Muara
Balai Ibadat Kampong Sungai Pandan,114.9392031,4.8809898,Brunei Muara
Balai Ibadat Nur Taqwa Kampong Sungai Siamas/Ujong Kelinik,114.9469254,4.878078286,Brunei Muara
Jame' 'Asr Hassanil Bolkiah,114.9217902,4.897942145,Brunei Muara
"Masjid Al-Ameerah Al-Hajjah Maryam, Kampong Jerudong",114.8425907,4.939115448,Brunei Muara
Masjid Ash-Shaliheen,114.9359353,4.918114746,Brunei Muara
"Masjid Duli Pengiran Muda Mahkota Pengiran Muda Haji Al-Muhtadee Billah, Kampong Tamoi",114.9326521,4.882775143,Brunei Muara
"Masjid Dulu Raja Isteri Pengiran Anak Damit, Mukim Kilanas",114.8627102,4.861131668,Brunei Muara
"Masjid Jefri Bolkiah, Kampong Batong",114.8158109,4.82010115,Brunei Muara
"Masjid Jubli Perak Sultan Haji Hassanal Bolkiah, Kampong Jangsak",114.875682,4.881478167,Brunei Muara
Masjid Kampong Batu Marang,115.033129,4.981740508,Brunei Muara
"Masjid Kampong Belimbing, Subok",114.9796089,4.905342546,Brunei Muara
Masjid Kampong Bengkurong,114.8709516,4.847421231,Brunei Muara
Masjid Kampong Beribi,114.9005894,4.887688296,Brunei Muara
Masjid Kampong Bunut ,114.8861454,4.852684501,Brunei Muara
Masjid Kampong Junjungan,114.8544319,4.810461241,Brunei Muara
Masjid Kampong Kapok,115.0445135,5.021469771,Brunei Muara
Masjid Kampong Kasat,114.947829,4.823257369,Brunei Muara
Masjid Kampong Kilanas,114.8627749,4.870309246,Brunei Muara
Masjid Kampong Lambak,114.9447724,4.968734634,Brunei Muara
Masjid Kampong Limau Manis ,114.8243683,4.76900947,Brunei Muara
Masjid Kampong Lumapas,114.9072291,4.82338462,Brunei Muara
Masjid Kampong Masin,114.8454507,4.829523461,Brunei Muara
Masjid Kampong Mentiri,115.0203075,4.968078858,Brunei Muara
Masjid Kampong Menunggol,114.9784275,4.863767461,Brunei Muara
Masjid Kampong Panchor Murai ,114.8098895,4.803489535,Brunei Muara
Masjid Kampong Pelambayan,114.9730513,4.886049462,Brunei Muara
Masjid Kampong Pengkalan Batu,114.8278465,4.799161082,Brunei Muara
Masjid Kampong Perpindahan Mata-Mata Gadong,114.8881167,4.900515553,Brunei Muara
Masjid Kampong Perpindahan Serasa ,115.0522944,5.003074533,Brunei Muara
Masjid Kampong Pintu Malim ,114.954413,4.87256105,Brunei Muara
Masjid Kampong Pudak ,115.0020988,4.898741426,Brunei Muara
Masjid Kampong Pulaie,114.9516376,4.933553302,Brunei Muara
Masjid Kampong Putat,114.9753689,4.83409563,Brunei Muara
