12.1 Schools,,,,,,
Sector,District,"2019
","2020
","2021
","2022
","2023
"
Government,Brunei Muara,103,104,104,103,103
Government,Belait,24,23,24,24,24
Government,Tutong,36,36,36,36,36
Government,Temburong,12,12,12,12,12
Private,Brunei Muara,55,56,59,59,60
Private,Belait,13,13,13,13,13
Private,Tutong,6,6,6,6,6
Private,Temburong,2,2,2,2,2
,,,,,,
12.1 Teachers,,,,,,
Sector,District,"2019
","2020
","2021
","2022
","2023
"
Government,Brunei Muara,"6,288","6,506","6,211","6,189","6,116"
Government,Belait,930,985,900,904,895
Government,Tutong,"1,096","1,134","1,052","1,050","1,035"
Government,Temburong,218,239,224,228,222
Private,Brunei Muara,"1,858","1,884","1,946","1,823","1,824"
Private,Belait,441,419,409,409,415
Private,Tutong,91,95,89,90,83
Private,Temburong,20,20,21,23,19
