"","id","name","mukim","area"
"1",1,"Kg. Biang","MUKIM AMO",19191702
"2",2,"Kg. Amo","MUKIM AMO",51795888
"3",3,"Kg. Sibut","MUKIM AMO",7562336
"4",4,"Kg. Sumbiling Baru","MUKIM AMO",6621619
"5",5,"Kg. Batang Duri","MUKIM AMO",34466940
"6",6,"Kg. Sumbiling Lama","MUKIM AMO",6270626
"7",7,"Hutan Simpan Batu Apoi","MUKIM AMO",421443136
"8",8,"Kg. Selapon","MUKIM BATU APOI",145718064
"9",9,"Kg. Lepong","MUKIM BOKOK",11152877
"10",10,"Kg. Semabat","MUKIM BOKOK",12574491
"11",11,"Kawasan Bahaya","MUKIM BOKOK",9094477
"12",12,"Kg. Temada","MUKIM BOKOK",42809232
"13",13,"Hutan Simpan Batu Apoi","MUKIM BOKOK",43206468
"14",14,"Kg. Ikas","MUKIM KERIAM",5583832
"15",15,"Kg. Katok","MUKIM GADONG A",5380744
"16",16,"Kg. Jaya Bakti","MUKIM BERAKAS A",189973.21875
"17",17,"Perumahan Negara Lambak Kanan Kawasan 2","MUKIM BERAKAS B",1994734.375
"18",18,"Perumahan Negara Rimba Kawasan 4","MUKIM GADONG A",1507586.625
"19",19,"Lapangan Terbang Antarabangsa Brunei","MUKIM BERAKAS A",9241854
"20",20,"Hutan Simpan","MUKIM GADONG A",4911623.5
"21",21,"Perumahan Negara Lambak Kanan Kawasan 1","MUKIM BERAKAS B",1700968
"22",22,"Perumahan Negara Rimba Kawasan 1","MUKIM GADONG A",1193015.625
"23",23,"Perumahan Negara Rimba Kawasan 2","MUKIM GADONG A",1618196
"24",24,"Perumahan Negara Lambak Kanan Kawasan 3","MUKIM BERAKAS B",1396574.5
"25",25,"Perumahan Negara Rimba Kawasan 3","MUKIM GADONG A",1377746.625
"26",26,"Perumahan Negara Lambak Kanan Kawasan 4","MUKIM BERAKAS B",1301815.125
"27",27,"Perumahan Negara Lambak Kanan Kawasan 5","MUKIM BERAKAS B",654616.3125
"28",28,"Perumahan Negara Rimba Kawasan 5","MUKIM GADONG A",1697312.375
"29",29,"Perumahan Negara Mentiri Kawasan A","MUKIM MENTIRI",2850799.25
"30",30,"Perumahan Negara Mentiri Kawasan B","MUKIM MENTIRI",926182.25
"31",31,"Kawasan Jabatan-Jabatan dan Perumahan Kerajaan","MUKIM BERAKAS A",4115267.5
"32",32,"Kg. Anggerek Desa","MUKIM BERAKAS A",902883.4375
"33",33,"Kg. Bakut Berumput","MUKIM PERAMU",29340.890625
"34",34,"Kg. Bakut Pengiran Siraja Muda A","MUKIM PERAMU",24014.71484375
"35",35,"Kg. Bakut Pengiran Siraja Muda B","MUKIM PERAMU",17717.78515625
"36",36,"Kg. Batang Perhentian","MUKIM PANGKALAN BATU",1165012.75
"37",37,"Kg. Batong","MUKIM PANGKALAN BATU",9780677
"38",38,"Kg. Batu Ampar","MUKIM PANGKALAN BATU",2502916.5
"39",39,"Kg. Batu Marang","MUKIM MENTIRI",2768003.5
"40",40,"Kg. BebatIk","MUKIM PANGKALAN BATU",3161866.75
"41",41,"Kg. Bebuloh","MUKIM PANGKALAN BATU",6289628.5
"42",42,"Kg. Belimbing","MUKIM KOTA BATU",9098328
"43",43,"Kg. Bengkurong","MUKIM KILANAS",3253259
"44",44,"Kg. Berangan","MUKIM KIANGGEH",1451312.625
"45",45,"Kg. Beribi","MUKIM GADONG B",6343288.5
"46",46,"Kg. Bolkiah A","MUKIM SUNGAI KEBUN",369634.46875
"47",47,"Kg. Bolkiah B","MUKIM SUNGAI KEBUN",483312.0625
"48",48,"Kg. Buang Sakar","MUKIM LUMAPAS",2417071
"49",49,"Kg. Buang Tawar","MUKIM KOTA BATU",902222.25
"50",50,"Kg. Buang Tekurok","MUKIM LUMAPAS",2727944.75
"51",51,"Kg. Bunut","MUKIM KILANAS",962722.8125
"52",52,"Kg. Bunut Perpindahan","MUKIM KILANAS",1218430.875
"53",53,"Kg. Burong Lepas","MUKIM KILANAS",1388292.5
"54",54,"Kg. Burong Pingai Ayer","MUKIM BURONG PINGAI AYER",251780.265625
"55",55,"Kg. Burong Pingai Berakas","MUKIM BERAKAS A",171406.515625
"56",56,"Kg. Dato Gandi","MUKIM KOTA BATU",484490.4375
"57",57,"Kg. Gadong Batu","MUKIM KOTA BATU",885710.375
"58",58,"Kg. Imang","MUKIM PANGKALAN BATU",8159675
"59",59,"Kg. Jangsak","MUKIM KILANAS",3004746.25
"60",60,"Kg. Jaya Setia","MUKIM BERAKAS A",902437.4375
"61",61,"Kg. Jerudong","MUKIM SENGKURONG",22312918
"62",62,"Kg. Junjongan","MUKIM PANGKALAN BATU",11343643
"63",63,"Kg. Kapok","MUKIM SERASA",4876712.5
"64",64,"Kg. Katimahar","MUKIM SENGKURONG",5331660.5
"65",65,"Kg. Kianggeh","MUKIM KIANGGEH",841464.125
"66",66,"Kg. Kiarong","MUKIM GADONG B",3834252.5
"67",67,"Kg. Kilanas","MUKIM KILANAS",7930339
"68",68,"Kg. Kiulap","MUKIM GADONG B",1765308.125
"69",69,"Kg. Kota Batu","MUKIM KOTA BATU",1408302.375
"70",70,"Kg. Kuala Peminyak","MUKIM SUNGAI KEDAYAN",13236.8779296875
"71",71,"Kg. Kulapis","MUKIM SENGKURONG",4867108.5
"72",72,"Kg. Kumbang Pasang","MUKIM KIANGGEH",568641.75
"73",73,"Kg. Lambak A","MUKIM BERAKAS A",3504150
"74",74,"Kg. Lambak B","MUKIM BERAKAS A",2529104
"75",75,"Kg. Lambak Kiri","MUKIM BERAKAS A",892871.9375
"76",76,"Kg. Limau Manis","MUKIM PANGKALAN BATU",6214020
"77",77,"Kg. Limbongan","MUKIM TAMOI",12749.24609375
"78",78,"Kg. Lugu","MUKIM SENGKURONG",6820434
"79",79,"Kg. Lumapas","MUKIM LUMAPAS",18216170
"80",80,"Kg. Lupak Luas","MUKIM LUMAPAS",1374833.125
"81",81,"Kg. Lurong Dalam","MUKIM BURONG PINGAI AYER",144249.625
"82",82,"Kg. Lurong Sikuna","MUKIM PERAMU",54429.0625
"83",83,"Kg. Madang","MUKIM BERAKAS B",902666.375
"84",84,"Kg. Madewa","MUKIM KILANAS",745360.5625
"85",85,"Kg. Manggis","MUKIM BERAKAS B",1729804.875
"86",86,"Kg. Masin","MUKIM PANGKALAN BATU",11004462
"87",87,"Kg. Mata-Mata","MUKIM GADONG B",4812038
"88",88,"Kg. Melabau","MUKIM KIANGGEH",3058687
"89",89,"Kg. Menglait","MUKIM GADONG B",1253962.875
"90",90,"Kg. Mentiri","MUKIM MENTIRI",3226852.25
"91",91,"Kg. Menunggul","MUKIM KOTA BATU",7990545.5
"92",92,"Kg. Mulaut","MUKIM SENGKURONG",6808658
"93",93,"Kg. Orang Kaya Besar Imas","MUKIM BERAKAS A",423860.46875
"94",94,"Kg. Pancha Delima","MUKIM BERAKAS A",515947.40625
"95",95,"Kg. Panchor Murai","MUKIM PANGKALAN BATU",5279565
"96",96,"Kg. Pandai Besi A","MUKIM BURONG PINGAI AYER",29122.138671875
"97",97,"Kg. Pandai Besi B","MUKIM BURONG PINGAI AYER",26847.25
"98",98,"Kg. Pangkalan Batu","MUKIM PANGKALAN BATU",4375045.5
"99",99,"Kg. Pangkalan Gadong","MUKIM GADONG B",2544861.25
"100",100,"Kg. Pangkalan Sibabau","MUKIM MENTIRI",1968074.75
"101",101,"Kg. Pasai","MUKIM SENGKURONG",844430.8125
"102",102,"Kg. Pekan Lama","MUKIM BURONG PINGAI AYER",51630.05859375
"103",103,"Kg. Pekilong Muara","MUKIM PERAMU",41423.0625
"104",104,"Kg. Pelambaian","MUKIM KOTA BATU",588633.6875
"105",105,"Kg. Pengiran Bendahara Lama","MUKIM TAMOI",128836.5234375
"106",106,"Kg. Pengiran Kerma Indera Lama","MUKIM TAMOI",39476.5859375
"107",107,"Kg. Pengiran Pemancha Lama","MUKIM SUNGAI KEDAYAN",14146.6689453125
"108",108,"Kg. Pengiran Setia Negara","MUKIM BURONG PINGAI AYER",20968.1953125
"109",109,"Kg. Pengiran Siraja Muda Delima Satu","MUKIM BERAKAS A",729585.75
"110",110,"Kg. Pengiran Tajuddin Hitam","MUKIM TAMOI",46234.109375
"111",111,"Kg. Peninjau","MUKIM SENGKURONG",10187345
"112",112,"Kg. Peramu","MUKIM PERAMU",87720.84375
"113",113,"Kg. Pintu Malim","MUKIM KOTA BATU",153283.34375
"114",114,"Kg. Pudak","MUKIM KOTA BATU",4809036
"115",115,"Kg. Pulaie","MUKIM BERAKAS A",820990.1875
"116",116,"Kg. Pusar Ulak","MUKIM KIANGGEH",458639.875
"117",117,"Kg. Putat","MUKIM LUMAPAS",3914018.75
"118",118,"Kg. Rimba","MUKIM GADONG A",5831412
"119",119,"Kg. Riong","MUKIM KOTA BATU",2005086.125
"120",120,"Kg. Saba Darat A","MUKIM SABA",45070.546875
"121",121,"Kg. Saba Darat B","MUKIM SABA",112194.421875
"122",122,"Kg. Saba Laut","MUKIM SABA",27025.673828125
"123",123,"Kg. Saba Tengah","MUKIM SABA",38300.78515625
"124",124,"Kg. Saba ujong","MUKIM SABA",24080.939453125
"125",125,"Kg. Sabun","MUKIM SERASA",1374688.625
"126",126,"Kg. Salambigar","MUKIM BERAKAS B",6320990
"127",127,"Kg. Salar","MUKIM MENTIRI",2706321.75
"128",128,"Kg. Selayun","MUKIM SENGKURONG",3310363.25
"129",129,"Kg. Sengkurong A","MUKIM SENGKURONG",3032555.5
"130",130,"Kg. Sengkurong B","MUKIM SENGKURONG",2295442.5
"131",131,"Kg. Serasa","MUKIM SERASA",7000815
"132",132,"Kg. Serdang","MUKIM KOTA BATU",356199.1875
"133",133,"Kg. Serusop","MUKIM BERAKAS A",1758285.125
"134",134,"Kg. Setia A","MUKIM SUNGAI KEBUN",216182.640625
"135",135,"Kg. Setia B","MUKIM SUNGAI KEBUN",434823.21875
"136",136,"Kg. Setia Pahlawan","MUKIM PERAMU",24859.291015625
"137",137,"Kg. Sungai Lampai","MUKIM KOTA BATU",76936.9921875
"138",138,"Kg. Sinarubai","MUKIM KILANAS",2453036.75
"139",139,"Kg. Subok","MUKIM KOTA BATU",6215366
"140",140,"Kg. Sungai Akar","MUKIM BERAKAS B",3416407.5
"141",141,"Kg. Sungai Asam","MUKIM LUMAPAS",334315.15625
"142",142,"Kg. Sungai Belukut","MUKIM KOTA BATU",1793071.875
