id,name,length,X,Y,district
0,NA,0,114.9872144,4.875552514,
1,Mukim Melilas,123645.4375,114.6859457,4.150033298,BELAIT
2,Mukim Sukang,140479.1875,114.6230576,4.320122573,BELAIT
3,Mukim Kuala Balai,79214.67188,114.3552784,4.45126811,BELAIT
4,Mukim Kuala Belait,57813.45703,114.2161744,4.563085208,BELAIT
5,Mukim Bukit Sawat,81032.23438,114.5598089,4.517769783,BELAIT
6,Mukim Seria,56859.26563,114.3560888,4.586257125,BELAIT
7,Mukim Amo,151868.8594,115.2036882,4.486360182,TEMBURONG
8,Mukim Liang,53052.36328,114.4777305,4.629135233,BELAIT
9,Mukim Batu Apoi,95851.16406,115.198197,4.655802037,TEMBURONG
10,Mukim Telisai,44890.23438,114.5752237,4.718083808,TUTONG
11,Mukim Tanjong Maya,40810,114.6638367,4.743136552,TUTONG
12,Mukim Bokok,127405.0625,115.0980572,4.524627393,TEMBURONG
13,Mukim Pangkalan Batu,46675.05078,114.8202414,4.794006928,BRUNEI MUARA
14,Mukim Labu,90604.0625,115.1613915,4.78631696,TEMBURONG
15,Mukim Lumapas,43418.09375,114.9293797,4.834297296,BRUNEI MUARA
16,Mukim Sungai Kebun,16082.46582,114.9501828,4.866075315,BRUNEI MUARA
17,Mukim Burong Pingai Ayer,4177.703613,114.9363068,4.878876969,BRUNEI MUARA
18,Mukim Saba,2190.006592,114.9476054,4.882161036,BRUNEI MUARA
19,Mukim Peramu,2315.650146,114.9435304,4.88288503,BRUNEI MUARA
20,Mukim Tamoi,4562.820801,114.933896,4.881950773,BRUNEI MUARA
21,Mukim Kilanas,37342.62891,114.8781616,4.86329858,BRUNEI MUARA
22,Mukim Rambai,104314.8672,114.7598657,4.495674284,TUTONG
23,Mukim Gadong B,25225.13086,114.9015556,4.897830334,BRUNEI MUARA
24,Mukim Sengkurong,70255.00781,114.8290539,4.901943838,BRUNEI MUARA
25,Mukim Berakas B,24290.03125,114.9750315,4.96432258,BRUNEI MUARA
26,Mukim Gadong A,37825.94141,114.8915179,4.948118986,BRUNEI MUARA
27,Mukim Mentiri,32621.80078,115.0150364,4.990319961,BRUNEI MUARA
28,Mukim Serasa,30398.41016,115.0474325,5.022374142,BRUNEI MUARA
30,Mukim Labi,128284.0078,114.4342461,4.367486139,BELAIT
31,Mukim Ukong,74896.08594,114.6136852,4.628669406,TUTONG
32,Mukim Lamunin,36833.20313,114.7204385,4.668785791,TUTONG
35,Mukim Kiudang,50112.10938,114.7450347,4.745493741,TUTONG
36,Mukim Pekan Tutong,46508.25781,114.6637022,4.800189593,TUTONG
37,Mukim Keriam,56629.41406,114.7472467,4.842611185,TUTONG
38,Mukim Kianggeh,10850.90039,114.9429555,4.90115522,BRUNEI MUARA
39,Mukim Sungai Kedayan,2996.500732,114.9378242,4.888936219,BRUNEI MUARA
41,Mukim Kota Batu,32844.03125,114.9885617,4.921626142,BRUNEI MUARA
42,Mukim Berakas A,48560.58984,114.9437853,4.967204788,BRUNEI MUARA
43,Mukim Bangar,54718.41016,115.0607232,4.728718672,TEMBURONG
